Country,Year,Cannabis,Cocaine,Heroin,Opium
Eritrea,2006,7.25,0,0,0
Ethiopia,1980,0,0,0,0
Ethiopia,1981,0,0,0,0
Ethiopia,1982,0,0,0,0
Ethiopia,1983,0,0,0,0
Ethiopia,1984,0,0,0,0
Ethiopia,1985,0,0,0,0
Ethiopia,1986,0,0,0,0
Ethiopia,1987,0,0,0,0
Ethiopia,1988,0,0,0.759,0
Ethiopia,1989,0,0,0.87,0
Ethiopia,1990,0,0,20,0
Ethiopia,1991,0.353,1.1,0,0
Ethiopia,1992,5224,0.077,0,0
Ethiopia,1993,15055.807,0,24.956,0
Ethiopia,1994,667.547,0,10.265,0
Ethiopia,1995,312.24,0,3.616,0
Ethiopia,1996,868.615,0,27.472,0
Ethiopia,1997,135.346,0,36.112,0
Ethiopia,1998,331.561,0,8.987,0
Ethiopia,1999,807.364,0,12.582,0
Ethiopia,2000,181.821,0,18.042,0
Ethiopia,2001,152.064,0,5.65,0
Ethiopia,2002,155.568,0,33.505,0
Ethiopia,2003,3326.502,0,11.812,0
Ethiopia,2004,99.73,0,16.166,0
Ethiopia,2005,25.657,0,20.269,0
Ethiopia,2006,68.906,0,1.209,0
Kenya,1980,16989,0,0,0
Kenya,1981,7688,0,0,0
Kenya,1982,5234,0,0,0
Kenya,1983,2513.5,0.025,0.002,0
Kenya,1984,4477,0.02,0.004,0
Kenya,1985,25590,0.125,0.2,0
Kenya,1986,15000,0,0.8,0
Kenya,1987,31500,0,20,0
Kenya,1988,0,0,0.55,0
Kenya,1989,0,0,1,0
Kenya,1990,12269.219,0.052,44.39,0
Kenya,1991,7357.537,0,10.33,0
Kenya,1992,0,0,0,0
Kenya,1993,2667.587,0.03,12.826,0
Kenya,1994,4146.212,0.065,22.781,0
Kenya,1995,2547.673,0.422,29.032,0
Kenya,1996,8238,3.44,15.492,0
Kenya,1997,11250,0.41,7.787,0
Kenya,1998,2375.24,1.24,9.954,0
Kenya,1999,8762.033,0.11,17.459,0
Kenya,2000,5649,4.017,28.657,0
Kenya,2001,383253.486,0.207,19.438,0
Kenya,2002,77737.711,18.584,41.272,0
Kenya,2003,8371.27,3.93,30.65,0
Kenya,2004,8486.34,1142.795,40.637,0
Kenya,2005,9851,10.476,23,0
Kenya,2006,0,10.768,0,0
Madagascar,1980,874,0,0,0
Madagascar,1981,1228,0,0,0
Madagascar,1982,1117,0,0,0
Madagascar,1983,805.613,0,0,0
Madagascar,1984,1347,0,0,0
Madagascar,1985,3830.065,0,0,0
Madagascar,1986,3156.215,0,0,0
Madagascar,1987,3558.699,0,0,0
Madagascar,1988,1689.355,0,0,0
Madagascar,1989,763.686,0,0,0
Madagascar,1990,1284.395,0,0,0
Madagascar,1991,609.972,0,0,0
Madagascar,1992,0,0,0,0
Madagascar,1993,1257,0,0,0
Madagascar,1994,0,0,0,0
Madagascar,1995,2452,0,0.863,0
Madagascar,1996,3320,0,0,0
Madagascar,1997,510.46,0,0,0
Madagascar,1998,0,0,0,0
Madagascar,1999,1265.332,0,0.005,0
Madagascar,2000,0,0,0,0
Madagascar,2001,0,0,0,0
Madagascar,2002,0,0,0,0
Madagascar,2003,0,0,0,0
Madagascar,2004,0,0,0,0
Madagascar,2005,0,0,0,0
Madagascar,2006,0,0,0,0
Mauritius,1980,18,0.005,0,75
Mauritius,1981,7,0,0,80
Mauritius,1982,0,0,0,16
Mauritius,1983,0,0,0,3
Mauritius,1984,8,0,0,2.887
Mauritius,1985,15.973,0.1,4.464,0
Mauritius,1986,57.267,0,7.97,4.809
Mauritius,1987,4.078,0,5.486,0.21
Mauritius,1988,14.394,0,1.937,0.001
Mauritius,1989,3.436,0,0.114,0.002
Mauritius,1990,2.517,0,0.229,0.051
Mauritius,1991,1.207,0,3.996,0
Mauritius,1992,6.19,0,9.271,0.003
Mauritius,1993,10.945,0,7.962,0
Mauritius,1994,3.385,0,6.523,0
Mauritius,1995,4.088,0,0.79,0
Mauritius,1996,8.792,0,5.235,0
Mauritius,1997,18435,0,6.92,0
Mauritius,1998,3.09,0,6.06,0
Mauritius,1999,5.592,0,3.067,0
Mauritius,2000,21.931,0,4.062,0
Mauritius,2001,66.985,0,24.532,0.001
Mauritius,2002,43.492,0,6.973,0
Mauritius,2003,45.261,0,15.949,0
Mauritius,2004,56.2,0,10.17,0
Mauritius,2005,67.236,0,15.122,0
Mauritius,2006,34.489,2.149,8.054,0
Rwanda,1980,0,0,0,0
Rwanda,1981,0,0,0,0
Rwanda,1982,0,0,0,0
Rwanda,1983,0,0,0,0
Rwanda,1984,0,0,0,0
Rwanda,1985,0,0,0,0
Rwanda,1986,0,0,0,0
Rwanda,1987,0,0,0,0
Rwanda,1988,594.626,0,0,0
Rwanda,1989,921.99,1,0.89,0
Rwanda,1990,1000,2,0,0
Rwanda,1991,0,0,0,0
Rwanda,1992,419.3,0,0,0
Rwanda,1993,195.6,0,0,0
Rwanda,1994,0,0,0,0
Rwanda,1995,0,0,0,0
Rwanda,1996,0,0,2.52,0
Rwanda,1997,0,0,0,0
Rwanda,1998,0,0,0,0
Rwanda,1999,0,0,0,0
Rwanda,2000,0,0,0,0
Rwanda,2001,0,0,0,0
Rwanda,2002,6215,4,0.5,0
Rwanda,2003,0,0,0,0
Rwanda,2004,0,35.009,0,0
Rwanda,2005,0,0,0,0
Rwanda,2006,0,0,0,0
Seychelles,1980,0.039,0,0,0
Seychelles,1981,7,0,0,0
Seychelles,1982,8,0,0,0
Seychelles,1983,0.377,0,0,0
Seychelles,1984,0.367,0,0,0
Seychelles,1985,10.402,0,0,0
Seychelles,1986,16.702,0,0,0
Seychelles,1987,0.44,0,0,0
Seychelles,1988,12.77,0,0,0
Seychelles,1989,14.681,0,0,0
Seychelles,1990,0.185,0,0,0
Seychelles,1991,34.406,0,0,0
Seychelles,1992,0.727,0,0,0
Seychelles,1993,0.595,0,0,0
Seychelles,1994,0.595,0,0,0
Seychelles,1995,0.813,0,0,0
Seychelles,1996,0.162,0,0,0
Seychelles,1997,0,0,0,0
Seychelles,1998,2.056,0,0,0
Seychelles,1999,1.005,0,0,0
Seychelles,2000,22.014,0,0,0
Seychelles,2001,0.067,0,0,0
Seychelles,2002,1.042,0,0,0
Seychelles,2003,0,0,0,0
Seychelles,2004,0,0,0,0
Seychelles,2005,0.1,0,6,0
Seychelles,2006,0,0,0,0
Somalia,1980,14,0,0,0
Somalia,1981,0,0,0,0
Somalia,1982,0,0,0,0
Somalia,1983,0,0,0,0
Somalia,1984,0,0,0,0
Somalia,1985,0,0,0,0
Somalia,1986,0,0,0,0
Somalia,1987,13.082,0,0.638,4
Somalia,1988,0,0,0,0
Somalia,1989,0,0,0,0
Somalia,1990,0,0,0,0
Somalia,1991,0,0,0,0
Somalia,1992,0,0,0,0
Somalia,1993,0,0,0,0
Somalia,1994,0,0,0,0
Somalia,1995,0,0,0,0
Somalia,1996,0,0,0,0
Somalia,1997,0,0,0,0
Somalia,1998,0,0,0,0
Somalia,1999,0,0,0,0
Somalia,2000,0,0,0,0
Somalia,2001,0,0,0,0
Somalia,2002,1000,0,0,0
Somalia,2003,0,0,0,0
Somalia,2004,0,0,0,0
Somalia,2005,0,0,0,0
Somalia,2006,0,0,0,0
Uganda,1980,0,0,0,0
Uganda,1981,0,0,0,0
Uganda,1982,0,0,0,0
Uganda,1983,0,0,0,0
Uganda,1984,0,0,0,0
Uganda,1985,0,0,0,0
Uganda,1986,0,0,0,0
Uganda,1987,0,0.15,0.235,0
Uganda,1988,0,0,0,0
Uganda,1989,40,0,3.7,0
Uganda,1990,239.14,0,3.902,0
Uganda,1991,1286,3,2.5,0
Uganda,1992,143.931,0.815,0.5,0
Uganda,1993,0,0,1.304,0
Uganda,1994,7910.56,0,2.8,0
Uganda,1995,0,0,1.519,0
Uganda,1996,258.81,4,2.722,0
Uganda,1997,0,0,0,0
Uganda,1998,5530,0,1.302,0
Uganda,1999,5530,0.412,14.17,0
Uganda,2000,6100,1.91,3.4,0
Uganda,2001,50000,0,5.772,0
Uganda,2002,100,0,11.19,0
Uganda,2003,25000.5,0,0,0
Uganda,2004,10630,0,6.5,0
Uganda,2005,0,0,2.08,0
Uganda,2006,0,0,0,0
United Republic of Tanzania,1980,0,0,0,0
United Republic of Tanzania,1981,0,0,0,0
United Republic of Tanzania,1982,0,0,0,0
United Republic of Tanzania,1983,0,0,0,0
United Republic of Tanzania,1984,0,0,0,0
United Republic of Tanzania,1985,0,0,0,0
United Republic of Tanzania,1986,0,0,0,0
United Republic of Tanzania,1987,0,0,0,0
United Republic of Tanzania,1988,0,0,0,0
United Republic of Tanzania,1989,0,0,0,0
United Republic of Tanzania,1990,0,0,0.393,0
United Republic of Tanzania,1991,8.142,0.3,1.557,0
United Republic of Tanzania,1992,0,0,1.133,0
United Republic of Tanzania,1993,0,2.2,1.914,0.002
United Republic of Tanzania,1994,0,0,1.325,0.15
United Republic of Tanzania,1995,4011.652,0,2.827,0.13
United Republic of Tanzania,1996,0,0,0,0
United Republic of Tanzania,1997,82539.539,0.2,4.852,0
United Republic of Tanzania,1998,4617.862,0,2.745,0
United Republic of Tanzania,1999,6021.273,1.161,7.583,0
United Republic of Tanzania,2000,24293.34,2.104,5.322,0
United Republic of Tanzania,2001,249639.026,7.339,7.967,0
United Republic of Tanzania,2002,90410.857,2.461,1.458,0
United Republic of Tanzania,2003,733222.063,1.727,4.071,0
United Republic of Tanzania,2004,964100,0.62,14.354,0
United Republic of Tanzania,2005,150450.4,0.362,9.936,0
United Republic of Tanzania,2006,225230,4.131,91.673,0
Algeria,1980,240,0,0,0
Algeria,1981,14,0,0.4,0
Algeria,1982,1,0,0,0
Algeria,1983,0,0,0,0
Algeria,1984,0,0,0,0
Algeria,1985,0,0,0,0
Algeria,1986,0,0,0,0
Algeria,1987,1208.371,0,0,0
Algeria,1988,0,0,0,0
Algeria,1989,3256.439,0,0,0
Algeria,1990,2266,0,0,0
Algeria,1991,101.336,0,18.353,0
Algeria,1992,6941,0.003,0,0.653
Algeria,1993,397.002,0,0.028,0.137
Algeria,1994,39.355,0,1.626,0.358
Algeria,1995,1475.252,0.003,0.105,0.008
Algeria,1996,0.036,0,0.222,0
Algeria,1997,0,0,0,0
Algeria,1998,58.3,0,0.256,0
Algeria,1999,0,0,0.002,0
Algeria,2000,0,0,0,0
Algeria,2001,0,0.288,0.006,0
Algeria,2002,0,0.268,0.024,0
Algeria,2003,1.797,9.508,1.454,0
Algeria,2004,6.959,0.152,0.027,3.033
Algeria,2005,0,0.07,0.01,0
Algeria,2006,0.527,7.773,0.025,0
Egypt,1980,0,0,0.255,3185
Egypt,1981,0,0,0,365
Egypt,1982,0,0,0.469,890
Egypt,1983,0,0.005,242.189,252.361
Egypt,1984,0,0.089,24.238,291.744
Egypt,1985,0,1.052,123.833,287.538
Egypt,1986,20.469,2.433,99.081,54.11
Egypt,1987,6.7,1.78,78.628,211.246
Egypt,1988,23.762,0.516,335.431,3862.377
Egypt,1989,622.427,0,57.883,89.709
Egypt,1990,0,0.92,67.621,56.046
Egypt,1991,1452,0.516,86.129,50.078
Egypt,1992,330,0.292,52.124,48.817
Egypt,1993,599,1.358,191.957,95.225
Egypt,1994,1268,1.204,87.045,49.38
Egypt,1995,2623,0.22,48.195,16.956
Egypt,1996,6624,0.934,48.256,16.272
Egypt,1997,10185.538,0.914,51.447,31.156
Egypt,1998,31078.387,1.86,24.682,25.894
Egypt,1999,22588.505,0.792,23.627,24.702
Egypt,2000,30397,14.2,37.114,75
Egypt,2001,50376,0.72,38.012,40
Egypt,2002,59282.8,4.07,55,33
Egypt,2003,84818.6,0.55,26.66,44.51
Egypt,2004,80249,2.03,31.2,114
Egypt,2005,78084,0.053,31.5,44.5
Egypt,2006,100850,0.07,58.07,33.01
Libyan Arab Jamahiriya,1980,0,0,0,0
Libyan Arab Jamahiriya,1981,0,0,0,0
Libyan Arab Jamahiriya,1982,0,0,0,0
Libyan Arab Jamahiriya,1983,0,0,0,0
Libyan Arab Jamahiriya,1984,0,0,0,0
Libyan Arab Jamahiriya,1985,0,0,0,0
Libyan Arab Jamahiriya,1986,0,0,0,0
Libyan Arab Jamahiriya,1987,18.403,0,0,0
Libyan Arab Jamahiriya,1988,0,0,0,0
Libyan Arab Jamahiriya,1989,2522,0,0,0
Libyan Arab Jamahiriya,1990,0,0,2.3,0
Libyan Arab Jamahiriya,1991,0,0,3.5,0
Libyan Arab Jamahiriya,1992,0,0,2.981,0
Libyan Arab Jamahiriya,1993,0,0,6.8,0
Libyan Arab Jamahiriya,1994,0,0.3,2.98,0
Libyan Arab Jamahiriya,1995,0,0,5.266,0
Libyan Arab Jamahiriya,1996,0,0,2.466,0
Libyan Arab Jamahiriya,1997,0,0,0.851,0
Libyan Arab Jamahiriya,1998,0,0.136,4.809,0
Libyan Arab Jamahiriya,1999,0,0.7,3.782,0
Libyan Arab Jamahiriya,2000,0,20.7,10.319,0
Libyan Arab Jamahiriya,2001,0,0.531,12.955,0
Libyan Arab Jamahiriya,2002,0,0.359,7.152,0
Libyan Arab Jamahiriya,2003,0,2.06,7.1,0
Libyan Arab Jamahiriya,2004,0,0.011,24.445,0
Libyan Arab Jamahiriya,2005,0,0.151,23.424,0
Libyan Arab Jamahiriya,2006,0,0.032,19.78,0
Morocco,1980,0,0,0,0
Morocco,1981,0,8,0,0
Morocco,1982,0,0,0,0
Morocco,1983,0,0.01,0,0
Morocco,1984,0,0,5.56,0
Morocco,1985,37071,0.086,0.585,0
Morocco,1986,46822.031,0,0,0
Morocco,1987,23688.545,20.894,3.026,0
Morocco,1988,130555.094,3.54,0,0
Morocco,1989,38094.281,4.421,0.017,0
Morocco,1990,65656.961,22.284,0.58,0
Morocco,1991,20705.217,16.953,0.088,0
Morocco,1992,27022.748,5.471,0.452,0
Morocco,1993,26452.402,0.484,0.202,0
Morocco,1994,34200.285,2.324,1.545,0
Morocco,1995,35807.871,6.294,7.152,0
Morocco,1996,38521.145,91.195,0.362,0
Morocco,1997,27955.979,6055.55,0.318,0
Morocco,1998,37160.879,30.111,1.282,0
Morocco,1999,46136.058,1.742,0.437,0
Morocco,2000,83719.676,0.898,0.152,0
Morocco,2001,68168.624,4.308,3.975,0
Morocco,2002,88529.162,15.803,3.529,0
Morocco,2003,69058.207,2.59,0.76,0
Morocco,2004,318610,4.012,1.001,0
Morocco,2005,115000,843.047,2.022,0
Morocco,2006,45640,53.66,0.714,0
Sudan,1980,0,0,0,0
Sudan,1981,2907.543,0,0,0
Sudan,1982,2722.216,0,0,0
Sudan,1983,2003.634,0,0,0
Sudan,1984,902.211,0,0,0
Sudan,1985,271774.344,0,0,0
Sudan,1986,733.185,0,0,0
Sudan,1987,0,0,0,0
Sudan,1988,1082,0,0,0
Sudan,1989,44661.715,0,3.095,0
Sudan,1990,73942.758,0,0.535,0
Sudan,1991,52971.262,0.041,0.055,0
Sudan,1992,0,0,0.504,0
Sudan,1993,21503,0.1,0.948,0
Sudan,1994,0,0.5,8.354,0
Sudan,1995,0,0.2,5.687,0
Sudan,1996,1202.812,0,0.833,0
Sudan,1997,0,0.13,0,0
Sudan,1998,0,0,0,0
Sudan,1999,0,0,0.25,0
Sudan,2000,1887.805,0.001,0,0
Sudan,2001,0,0.587,0.505,0
Sudan,2002,0,0,0,0
Sudan,2003,0,1.922,0,0
Sudan,2004,0,2,0,0
Sudan,2005,0,0,0,0
Sudan,2006,0,0,0,0
Tunisia,1980,0,0,0,0
Tunisia,1981,6,0,0,0
Tunisia,1982,168,0.004,0,0.039
Tunisia,1983,5.836,0,6.072,0
Tunisia,1984,80.85,0,0,0
Tunisia,1985,36,0,0.002,0
Tunisia,1986,34.046,0,10.121,0
Tunisia,1987,6.036,0,0.182,0
Tunisia,1988,29.85,9.375,0,0
Tunisia,1989,2.3,0,2.694,0
Tunisia,1990,7,0,0,0
Tunisia,1991,0.016,0.85,0.179,0
Tunisia,1992,1.718,6.277,3.648,0
Tunisia,1993,42.317,0,0.546,0
Tunisia,1994,1.084,0,0.703,0.029
Tunisia,1995,3.865,0,5,13
Tunisia,1996,0.066,0.001,4.575,0
Tunisia,1997,18.163,0.047,0.308,0
Tunisia,1998,2,0.127,0.474,0
Tunisia,1999,0,0.017,1.391,0
Tunisia,2000,0,0,1.02,0.017
Tunisia,2001,0,0,0,0
Tunisia,2002,0,1.055,0.254,0
Tunisia,2003,0,0.54,0,0
Tunisia,2004,0,1.005,0,0
Tunisia,2005,0,0.03,0.028,0
Tunisia,2006,0,29.667,0,0
Angola,1980,0,0,0,0
Angola,1981,0,0,0,0
Angola,1982,0,0,0,0
Angola,1983,0,0,0,0
Angola,1984,0,0,0,0
Angola,1985,0,0,0,0
Angola,1986,0,0,0,0
Angola,1987,0,0,0,0
Angola,1988,0,0,0,0
Angola,1989,40,0,0,0
Angola,1990,455,0,0,0
Angola,1991,716,0,0,0
Angola,1992,52,1,0,0
Angola,1993,0,0,0,0
Angola,1994,0,0,0,0
Angola,1995,2223.228,8.902,0.023,0
Angola,1996,63.85,64.36,0,0
Angola,1997,518.006,536,0.01,0
Angola,1998,1.975,38.007,0,0
Angola,1999,2829.167,15.901,0,0
Angola,2000,4733.667,173.724,0.005,0
Angola,2001,621.278,20.745,21.5,0
Angola,2002,0,0,0,0
Angola,2003,0,0,0,0
Angola,2004,0,0,0,0
Angola,2005,2677.85,8.962,0,0
Angola,2006,0,0,0,0
Botswana,1980,0,0,0,0
Botswana,1981,0,0,0,0
Botswana,1982,0,0,0,0
Botswana,1983,0,0,0,0
Botswana,1984,0,0,0,0
Botswana,1985,1798.663,0,0,0
Botswana,1986,341.128,0,0,0
Botswana,1987,172.599,0.556,0.1,0
Botswana,1988,1852.59,0,0,0
Botswana,1989,859.067,0,0,0
Botswana,1990,14236,0,0,0
Botswana,1991,477.216,0.194,0.9,0
Botswana,1992,144.817,0,0,0
Botswana,1993,1125.728,19.239,0,0
Botswana,1994,29.347,0,0,0
Botswana,1995,1349,0.407,0.469,0
Botswana,1996,1588.198,3,0,0
Botswana,1997,1446.153,0.982,0.228,0
Botswana,1998,1186,0.7,0,0
Botswana,1999,1229,1.696,0,0
Botswana,2000,0,0,0,0
Botswana,2001,0,0,0,0
Botswana,2002,1000,0,0,0
Botswana,2003,0,0,0,0
Botswana,2004,0,0,0,0
Botswana,2005,1547,0.6,0,0
Botswana,2006,1167,0.157,0,0
Lesotho,1980,3401,0,0,0
Lesotho,1981,9866,0,0,0
Lesotho,1982,0,0,0,0
Lesotho,1983,11355.944,0,0,0
Lesotho,1984,36615.051,0,0,0
Lesotho,1985,14694.707,0,0,0
Lesotho,1986,27183.396,0,0,0
Lesotho,1987,15937.054,0,0,0
Lesotho,1988,7886.819,0,0,0
Lesotho,1989,13213.429,0,0,0
Lesotho,1990,24363,0,0,0
Lesotho,1991,1370.89,0,0,0
Lesotho,1992,4572,0,0,0
Lesotho,1993,23013.748,0,0,0
Lesotho,1994,4864.19,0,0,0
Lesotho,1995,0,0,0,0
Lesotho,1996,15390.089,0,0,0
Lesotho,1997,10472.073,2.346,0,0
Lesotho,1998,21583.824,0,0,0
Lesotho,1999,7243.697,0.632,0.5,0
Lesotho,2000,0,0,0,0
Lesotho,2001,0,0,0,0
Lesotho,2002,6513.35,0,0,0
Lesotho,2003,0,0,0,0
Lesotho,2004,16744,0,0,0
Lesotho,2005,6285,0,0,0
Lesotho,2006,0,0,0,0
Malawi,1980,0,0,0,0
Malawi,1981,0,0,0,0
Malawi,1982,0,0,0,0
Malawi,1983,1433.714,0,0,0
Malawi,1984,1258.349,0,0,0
Malawi,1985,901.156,0,0,0
Malawi,1986,1155.053,0,0,0
Malawi,1987,1365.492,0,0,0
Malawi,1988,997.068,0,0,0
Malawi,1989,1730.359,0,0,0
Malawi,1990,0,0,0,0
Malawi,1991,1891.371,0,0,0
Malawi,1992,1859.801,0,0,0
Malawi,1993,4785.454,0,0,0
Malawi,1994,4863.814,0,0,0
Malawi,1995,39911.254,0,0,0
Malawi,1996,8453.497,0,0,0
Malawi,1997,10320.105,0,0,0
Malawi,1998,5201.971,1.5,0.2,0
Malawi,1999,27141.583,1.2,0.5,0
Malawi,2000,312471.845,0,0,0
Malawi,2001,8663.694,0.25,0,0
Malawi,2002,7131.989,0,0,0
Malawi,2003,8165.463,20.283,0,0
Malawi,2004,23859.006,2.394,0,0
Malawi,2005,16852.598,0,12.035,0
Malawi,2006,271749.68,0,4,0
Mozambique,1980,0,0,0,0
Mozambique,1981,25,0,0,0
Mozambique,1982,25,0,0,0
Mozambique,1983,0,0,0,0
Mozambique,1984,0,0,0,0
Mozambique,1985,0,0,0,0
Mozambique,1986,0,0,0,0
Mozambique,1987,0,0,0,0
Mozambique,1988,0,0,0,0
Mozambique,1989,0,0,0,0
Mozambique,1990,0,0,0,0
Mozambique,1991,0,0,0,0
Mozambique,1992,0,0,0,0
Mozambique,1993,0,0,0,0
Mozambique,1994,0,0,0,0
Mozambique,1995,0,0,0,0
Mozambique,1996,0,0,0,0
Mozambique,1997,184.024,0,0,0
Mozambique,1998,462,2.134,0,0
Mozambique,1999,894.406,0.385,0,0
Mozambique,2000,1700.562,0.1,0.007,0
Mozambique,2001,6721.55,0.012,0.005,0
Mozambique,2002,5798,0,0,0
Mozambique,2003,5089.474,15,0,0
Mozambique,2004,0,0,0,0
Mozambique,2005,4119,21.8,0.01,0
Mozambique,2006,0,2.02,0,0
Namibia,1980,0,0,0,0
Namibia,1981,0,0,0,0
Namibia,1982,0,0,0,0
Namibia,1983,0,0,0,0
Namibia,1984,0,0,0,0
Namibia,1985,0,0,0,0
Namibia,1986,0,0,0,0
Namibia,1987,0,0,0,0
Namibia,1988,0,0,0,0
Namibia,1989,551.53,0,0,0
Namibia,1990,898.79,0,0,0
Namibia,1991,1024.953,0,1.467,0
Namibia,1992,0,0,0,0
Namibia,1993,237.422,3.6,0,0
Namibia,1994,0,0,0,0
Namibia,1995,0,0.595,0,0
Namibia,1996,0,5.953,0,0
Namibia,1997,298.83,23.932,0,0
Namibia,1998,361.395,2.11,0,0
Namibia,1999,282.363,0,0.003,0
Namibia,2000,302.981,0.093,0.1,0
Namibia,2001,5386.189,3.036,0.003,0
Namibia,2002,949.448,0.189,0.002,0
Namibia,2003,619.749,0.056,0,0
Namibia,2004,575.702,15.493,0.204,0
Namibia,2005,344.017,0.197,0.001,0
Namibia,2006,421.705,0.908,0,0
South Africa,1980,575419,0,0,0
South Africa,1981,0.135,0.156,0,0.6
South Africa,1982,123563,3,0,13
South Africa,1983,0,0.174,0,0.029
South Africa,1984,0,0.61,0.001,0.075
South Africa,1985,465438,0.265,0,0.1
South Africa,1986,874869.438,4.403,0,1.125
South Africa,1987,1111414,1.402,0,0.026
South Africa,1988,212259,1.193,0.03,0.057
South Africa,1989,1230900,1642,1532,0
South Africa,1990,171129.703,10.092,40.185,0
South Africa,1991,680024,38.826,0.262,0
South Africa,1992,254142,11.634,1.341,0
South Africa,1993,847336,78.388,1.846,0
South Africa,1994,268652,69.561,24.745,0
South Africa,1995,238813.203,187.765,5.942,0
South Africa,1996,203353.953,106.629,0.811,0
South Africa,1997,171929.328,151.519,1.548,0
South Africa,1998,197116.297,636.291,5.383,0
South Africa,1999,289943.561,346.843,7.435,0
South Africa,2000,717701.918,91.202,15.386,0
South Africa,2001,123964.058,155.305,8.465,0
South Africa,2002,104977.75,398.961,15.02,0
South Africa,2003,32928.219,776.726,33.953,0
South Africa,2004,818044.893,593.041,19.145,0
South Africa,2005,292186.838,309.561,37.398,0
South Africa,2006,359024,360.253,22.585,0
Swaziland,1980,9135,0,0,0
Swaziland,1981,0,0,0,0
Swaziland,1982,0,0,0,0
Swaziland,1983,0,0,0,0
Swaziland,1984,0,0,0,0
Swaziland,1985,0,0,0,0
Swaziland,1986,0,0,0,0
Swaziland,1987,12614.979,0,0,0
Swaziland,1988,1691.75,0,0,0
Swaziland,1989,1464496.75,0,0,0
Swaziland,1990,10331.194,0,0,0
Swaziland,1991,9539,0,0,0
Swaziland,1992,5112,0,0,0
Swaziland,1993,1962.457,0,0,0
Swaziland,1994,3522.842,0.421,0,0
Swaziland,1995,0,2.766,0.449,0
